time_stamp,left_rf,left_var,front_rf,front_var,right_rf,right_var,left_ir,right_ir,action
3.7218410968780518,36.388975381851196,nan,nan,nan,92.79301166534424,nan,False,True,"[('reverse', None)]"
3.9939792156219482,41.12716794013977,nan,nan,nan,53.815776109695435,nan,False,True,"[('reverse', None)]"
4.272327423095703,40.96647500991821,nan,nan,nan,102.982497215271,nan,False,True,"[('reverse', None)]"
4.550952672958374,41.14066123962402,nan,nan,nan,100.57005882263184,nan,False,True,"[('reverse', None)]"
4.829781532287598,42.29290723800659,nan,nan,nan,101.7313003540039,nan,False,True,"[('reverse', None)]"
5.109182119369507,43.14094066619873,nan,nan,nan,100.86854696273804,nan,False,True,"[('reverse', None)]"
5.388740539550781,42.84367918968201,nan,nan,nan,103.66533994674683,nan,False,True,"[('reverse', None)]"
5.668909311294556,44.01800513267517,nan,nan,nan,101.00347995758057,nan,False,True,"[('reverse', None)]"
5.948729991912842,43.81969451904297,12.69498741812573,nan,nan,100.75814723968506,31.940337943508332,False,True,"[('reverse', None)]"
6.231666088104248,43.267695903778076,2.12234133139295,nan,nan,102.45503187179565,14.366777850774097,False,True,"[('reverse', None)]"
6.515143632888794,41.99891686439514,1.0736673744959329,nan,nan,156.02751970291138,22.910841849394025,False,True,"[('reverse', None)]"
6.794838190078735,42.31498718261719,0.9811868890471825,nan,nan,99.68686103820801,16.391178830812237,False,True,"[('reverse', None)]"
6.794838190078735,42.31498718261719,0.9811868890471825,nan,nan,99.68686103820801,16.391178830812237,False,True,"[('stuck', None)]"
